collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,acceptance_rule,recommended_source,next_action
11,galway-company-011,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Discretionary,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
12,galway-company-012,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Staples,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
13,galway-company-013,missing_row,Galway,Oranmore,Galway / Oranmore,Health Care,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
14,galway-company-014,missing_row,Galway,Oranmore,Galway / Oranmore,Information Technology,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
15,galway-company-015,missing_row,Galway,Oranmore,Galway / Oranmore,Financials,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
16,galway-company-016,missing_row,Galway,Athenry,Galway / Athenry,Industrials,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
17,galway-company-017,missing_row,Galway,Athenry,Galway / Athenry,Consumer Discretionary,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
18,galway-company-018,missing_row,Galway,Athenry,Galway / Athenry,Consumer Staples,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
19,galway-company-019,missing_row,Galway,Athenry,Galway / Athenry,Health Care,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
20,galway-company-020,missing_row,Galway,Athenry,Galway / Athenry,Information Technology,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
